"repayment","account","time","behavior","usage","amount","savings","employment","rate","famgen","guaran","residence","finance","age","furthcred","home","prevcred","job","pers","phone","gastarb","dtime","damount","dage","simple.score"
1,1,18,4,2,1049,1,2,4,2,1,4,2,21,3,1,1,3,1,1,1,"8","8","1",0.402366059686192
1,1,9,4,0,2799,1,3,2,3,1,2,1,36,3,1,2,3,2,1,1,"9","6","2",0.665640126921063
1,2,12,2,9,841,2,4,2,2,1,4,1,23,3,1,1,2,1,1,1,"9","9","1",0.573258081885781
1,1,12,4,0,2122,1,3,3,3,1,2,1,39,3,1,2,2,2,1,0,"9","7","2",0.709896604624755
1,1,12,4,0,2171,1,3,4,3,1,4,2,38,1,2,2,2,1,1,0,"9","7","2",0.671100730780803
1,1,10,4,0,2241,1,2,1,3,1,3,1,48,3,1,2,2,2,1,0,"9","7","3",0.728193039860311
1,1,8,4,0,3398,1,4,1,3,1,4,1,39,3,2,2,2,1,1,0,"9","6","2",0.943467211444264
1,1,6,4,0,1361,1,2,2,3,1,4,1,40,3,2,1,2,2,1,0,"10","8","3",0.839952884242713
1,4,18,4,3,1098,1,1,4,2,1,4,3,65,3,2,2,1,1,1,1,"8","8","5",0.746357001728806
1,2,24,2,3,3758,3,1,1,2,1,4,4,23,3,1,1,1,1,1,1,"7","6","1",0.519472769888105
1,1,11,4,0,3905,1,3,2,3,1,2,1,36,3,1,2,3,2,1,1,"9","6","2",0.665640126921024
1,1,30,4,1,6187,2,4,1,4,1,4,3,24,3,1,2,3,1,1,1,"6","5","1",0.598110475173642
1,1,6,4,3,1957,1,4,1,2,1,4,3,31,3,2,1,3,1,1,1,"10","7","2",0.81483950750794
1,2,48,3,10,7582,2,1,2,3,1,4,4,31,3,2,1,4,1,2,1,"3","4","2",0.428564855996193
1,1,18,2,3,1936,5,4,2,4,1,4,3,23,3,1,2,2,1,1,1,"8","7","1",0.584108914863094
1,1,6,2,3,2647,3,3,2,3,1,3,1,44,3,1,1,3,2,1,1,"10","6","3",0.713524512322718
1,1,11,4,0,3939,1,3,1,3,1,2,1,40,3,2,2,2,2,1,1,"9","6","3",0.747131035957686
1,2,18,2,3,3213,3,2,1,4,1,3,1,25,3,1,1,3,1,1,1,"8","6","1",0.723347014001987
1,2,36,4,3,2337,1,5,4,3,1,4,1,36,3,2,1,3,1,1,1,"5","7","2",0.68839950453907
1,4,11,4,0,7228,1,3,1,3,1,4,2,39,3,2,2,2,1,1,1,"9","5","2",1.03262294218251
1,1,6,4,0,3676,1,3,1,3,1,3,1,37,3,1,3,3,2,1,1,"10","6","2",0.731817792889611
1,2,12,4,0,3124,1,2,1,3,1,3,1,49,1,2,2,2,2,1,1,"9","6","3",0.742225201543996
0,2,36,2,5,2384,1,2,4,3,1,1,4,33,3,1,1,2,1,1,1,"5","7","2",0.326384420629129
1,2,12,4,4,1424,1,4,4,3,1,3,2,26,3,2,1,3,1,1,1,"9","8","2",0.786598414780436
1,1,6,4,0,4716,5,2,1,3,1,3,1,44,3,2,2,2,2,1,1,"10","6","3",0.932593788271753
1,2,11,3,3,4771,1,4,2,3,1,4,2,51,3,2,1,3,1,1,1,"9","6","3",0.829058673448197
1,1,12,2,2,652,1,5,4,2,1,4,2,24,3,1,1,3,1,1,1,"9","9","1",0.330050146420061
1,2,9,4,3,1154,1,5,2,3,1,4,1,37,3,2,3,2,1,1,1,"9","8","2",0.840273942970725
1,4,15,2,0,3556,5,3,3,3,1,2,4,29,3,2,1,3,1,1,1,"8","6","2",0.914527659236153
1,3,42,4,1,4796,1,5,4,3,1,4,4,56,3,3,1,3,1,1,1,"4","6","3",0.899858488015099
1,3,30,4,3,3017,1,5,4,3,1,4,2,47,3,2,1,3,1,1,1,"6","6","3",0.872854834715225
1,4,36,4,0,3535,1,4,4,3,1,4,3,37,3,2,2,3,1,2,1,"5","6","2",0.81150106645911
1,4,36,4,0,6614,1,5,4,3,1,4,3,34,3,2,2,4,1,2,1,"5","5","2",0.789792451007256
1,4,24,2,3,1376,3,4,4,2,1,1,3,28,3,2,1,3,1,1,1,"7","8","2",0.769238511285296
1,1,15,2,0,1721,1,2,2,3,1,3,1,36,3,2,1,3,1,1,1,"8","7","2",0.560277144333742
1,1,6,4,0,860,1,5,1,2,1,4,4,39,3,2,2,3,1,2,1,"10","9","2",0.68337604998665
1,4,12,4,0,1495,1,5,4,3,1,1,1,38,3,2,2,2,2,1,1,"9","8","2",0.952055101994229
1,4,12,4,3,1934,1,5,2,3,1,2,4,26,3,2,2,3,1,1,1,"9","7","2",0.989741321051378
1,4,18,2,1,3378,5,3,2,3,1,1,2,31,3,2,1,3,1,2,1,"8","6","2",1.06734373406777
1,4,24,4,1,3868,1,5,4,2,1,2,3,41,3,1,2,4,1,2,1,"7","6","3",0.829760045922193
1,4,12,4,5,996,5,4,4,2,1,4,1,23,3,2,2,3,1,1,1,"9","9","1",0.924668170764083
1,1,24,2,10,1755,1,5,4,2,3,4,1,58,3,2,1,2,1,2,1,"7","7","3",0.720835346279957
1,4,18,4,0,1028,1,3,4,2,1,3,1,36,3,2,2,3,1,1,1,"8","8","2",0.83088906185479
1,2,24,4,9,2825,5,4,4,3,1,3,4,34,3,2,2,3,2,2,1,"7","6","2",0.827133241772141
1,2,18,2,6,1239,5,3,4,3,1,4,4,61,3,3,1,3,1,1,1,"8","8","4",0.653139940291118
0,1,18,2,0,1216,1,2,4,2,1,3,3,23,3,1,1,3,1,2,1,"8","8","1",0.27558715594262
1,4,24,2,9,1258,1,4,4,3,1,1,1,25,3,2,1,3,1,2,1,"7","8","1",0.814651561050378
0,4,18,4,6,1864,2,3,4,2,1,2,1,30,3,2,2,3,1,1,1,"8","7","2",0.917891345854772
1,4,24,2,0,1474,2,2,4,4,1,3,1,33,3,2,1,3,1,2,1,"7","8","2",0.865885000378676
1,1,24,4,9,1382,2,4,4,3,1,1,1,26,3,2,2,3,1,2,1,"7","8","2",0.709528340788964
1,4,12,2,0,640,1,3,4,1,1,2,1,49,3,2,1,2,1,1,1,"9","9","3",0.664247814739423
1,3,36,2,3,3919,1,3,2,3,1,2,1,23,3,2,1,3,1,2,1,"5","6","1",0.679492729079122
1,4,9,4,0,1224,1,3,3,3,1,1,1,30,3,2,2,3,1,1,1,"9","8","2",0.962291372769137
1,4,12,4,3,2331,5,5,1,3,2,4,1,49,3,2,1,3,1,2,1,"9","7","3",1.39599384267183
1,4,24,2,1,6313,5,5,3,3,1,4,3,41,3,2,1,4,2,2,1,"7","5","3",0.931036230459165
1,1,12,4,3,385,1,4,4,2,1,3,1,58,3,2,4,2,1,2,1,"9","10","3",0.742181997773753
1,4,12,4,3,1655,1,5,2,3,1,4,1,63,3,2,2,2,1,2,1,"9","7","4",1.10272374741547
1,1,15,2,3,1053,1,2,4,4,1,2,1,27,3,2,1,3,1,1,0,"8","8","2",0.615309849964567
1,4,21,2,3,3160,5,5,4,3,1,3,2,41,3,2,1,3,1,2,1,"7","6","3",1.03446182897508
1,4,36,2,0,3079,5,3,4,3,1,4,1,36,3,2,1,3,1,1,1,"5","6","2",0.858378757489136
1,4,12,4,0,1163,3,3,4,3,1,4,1,44,3,2,1,3,1,2,1,"9","8","3",1.06880336628297
1,4,24,2,1,2679,1,2,4,2,1,1,4,29,3,2,1,4,1,2,1,"7","6","2",0.700004267158433
1,4,48,4,3,3578,5,5,4,3,1,1,1,47,3,2,1,3,1,2,1,"3","6","3",1.0106396303359
1,4,36,3,0,10875,1,5,2,3,1,2,3,45,3,2,2,3,2,2,1,"5","3","3",0.519491553781275
1,1,12,3,0,1344,1,3,4,3,1,2,1,43,3,2,2,2,2,1,1,"9","8","3",0.51808758521287
1,4,6,4,3,1237,2,3,1,2,1,1,2,27,3,2,2,3,1,1,1,"10","8","2",1.07354805925486
1,4,12,2,3,3077,1,3,2,3,1,4,3,52,3,2,1,3,1,2,1,"9","6","3",0.942113523982843
1,4,24,2,3,2284,1,4,4,3,1,2,3,28,3,2,1,3,1,2,1,"7","7","2",0.818019978808209
1,2,12,2,3,1567,1,3,1,2,1,1,3,22,3,2,1,3,1,2,1,"9","7","1",0.65853247350135
1,4,24,3,0,2032,1,5,4,3,1,4,4,60,3,3,2,3,1,2,1,"7","7","4",0.830715868596948
1,2,21,4,2,2745,4,4,3,3,1,2,3,32,3,2,2,3,1,2,1,"7","6","2",0.877985863992219
1,4,30,2,3,1867,5,5,4,3,1,4,3,58,3,2,1,3,1,2,1,"6","7","3",0.956755098207462
1,4,36,2,3,2299,3,5,4,3,1,4,3,39,3,2,1,3,1,1,1,"5","7","2",0.753021805585904
1,4,24,2,2,929,5,4,4,3,1,2,3,31,2,2,1,3,1,2,1,"7","9","2",0.798099590899296
1,3,12,2,3,3399,5,5,2,3,1,3,3,37,3,2,1,4,1,1,1,"9","6","2",1.00277811542468
1,2,9,2,2,2030,5,4,2,3,1,1,3,24,3,2,1,3,1,2,1,"9","7","1",0.829249490487509
1,4,21,4,1,3275,1,5,1,3,1,4,3,36,3,2,1,4,1,2,1,"7","6","2",1.09309683437657
1,4,24,4,0,1940,4,5,4,3,1,4,1,60,3,2,1,3,1,2,1,"7","7","4",1.08912186389906
1,1,21,4,0,1602,1,5,4,4,1,3,3,30,3,2,2,3,1,2,1,"7","7","2",0.671351574710635
1,4,15,2,3,1979,5,5,4,3,1,2,3,35,3,2,1,3,1,1,1,"8","7","2",0.950523453016406
1,4,24,4,0,2022,1,3,4,2,1,4,3,37,3,2,1,3,1,2,1,"7","7","2",0.868754581852022
1,4,36,4,3,3342,5,5,4,3,1,2,3,51,3,2,1,3,1,2,1,"5","6","3",1.00987182815861
1,2,18,2,0,5866,2,3,2,3,1,2,3,30,3,2,2,3,1,2,1,"8","5","2",0.64887390668523
1,3,15,4,1,2360,3,3,2,3,1,2,3,36,3,2,1,3,1,2,1,"8","7","2",0.961714519372139
1,4,15,4,2,1520,5,5,4,3,1,4,2,63,3,2,1,3,1,1,1,"8","7","4",1.06168267034881
1,1,12,2,0,3651,4,3,1,3,1,3,2,31,3,2,1,3,2,1,1,"9","6","2",0.739474490006473
1,4,24,4,1,2346,1,4,4,3,1,3,3,35,3,2,2,3,1,2,1,"7","7","2",0.898541802895561
1,4,36,3,3,4454,1,3,4,2,1,4,1,34,3,2,2,3,1,1,1,"5","6","2",0.712928509802275
1,1,6,4,0,666,4,4,3,2,1,4,1,39,3,2,2,2,1,2,1,"10","9","2",0.808683444945748
1,2,24,3,0,1965,5,3,4,2,1,4,3,42,3,1,2,3,1,2,1,"7","7","3",0.626781886044654
1,2,12,4,0,1995,2,2,4,3,1,1,3,27,3,2,1,3,1,1,1,"9","7","2",0.74260571315223
1,2,30,2,3,2991,5,5,2,2,1,4,3,25,3,2,1,3,1,1,1,"6","6","1",0.730884036680409
1,2,30,0,9,4221,1,3,2,2,1,1,3,28,3,2,2,3,1,1,1,"6","6","2",0.44915980833809
1,1,9,2,3,1364,1,4,3,3,1,4,1,59,3,2,1,3,1,1,1,"9","8","3",0.604247067935959
1,2,18,4,2,6361,1,5,2,3,1,1,4,41,3,2,1,3,1,2,1,"8","5","3",0.793701903361148
1,4,27,4,2,4526,4,2,4,3,1,2,1,32,2,2,2,2,2,2,1,"6","6","2",0.97241936772191
1,2,12,4,3,3573,1,3,1,2,1,1,1,23,3,2,1,2,1,1,1,"9","6","1",0.856965873122558
0,2,36,3,9,4455,1,3,2,1,1,2,1,30,2,2,2,4,1,2,1,"5","6","2",0.563047574340182
1,1,9,2,2,2136,1,3,3,3,1,2,1,25,3,2,1,3,1,1,1,"9","7","1",0.555965143179926
1,2,42,4,9,5954,1,4,2,2,1,1,1,41,1,2,2,2,1,1,1,"4","5","3",0.729944020047249
1,4,24,4,2,3777,4,3,4,3,1,4,1,40,3,2,1,3,1,2,1,"7","6","3",1.10462360198499
1,1,15,2,9,806,1,3,4,2,1,4,2,22,3,2,1,2,1,1,1,"8","9","1",0.309757643593033
1,2,24,3,9,4712,5,3,4,3,1,2,2,34,1,2,2,4,1,2,1,"7","6","2",0.762178517127746
1,2,36,3,0,7432,1,3,2,2,1,2,2,54,3,1,1,3,1,1,1,"5","5","3",0.460656517315838
1,4,24,4,3,1851,1,4,4,4,3,2,3,33,3,2,2,3,1,2,1,"7","7","2",1.0646270619785
1,4,24,2,0,1393,1,3,2,3,3,2,1,31,3,2,1,3,1,2,1,"7","8","2",1.00334019772769
1,4,12,4,9,1412,1,3,4,2,3,2,1,29,3,2,2,4,1,2,1,"9","8","2",1.07758060262366
1,4,18,2,3,1473,1,2,3,4,1,4,1,39,3,2,1,3,1,2,1,"8","8","2",0.888523853848826
1,4,24,2,3,1533,1,2,4,2,1,3,3,38,2,2,1,3,1,2,1,"7","7","2",0.683966606003791
1,4,12,4,6,2012,5,4,4,2,1,2,3,61,3,2,1,3,1,1,1,"9","7","4",1.03020634971255
0,1,15,2,0,3959,1,3,3,2,1,2,2,29,3,2,1,3,1,2,1,"8","6","2",0.559193947011428
1,1,6,2,2,428,1,5,2,2,1,1,2,49,1,2,1,3,1,2,1,"10","10","3",0.782183360045819
1,2,12,4,0,2366,3,4,3,1,1,3,3,36,3,2,1,4,1,2,1,"9","7","2",0.823214717134859
1,4,12,2,2,763,1,3,4,2,1,1,1,26,3,2,1,3,1,2,1,"9","9","2",0.767841811300537
1,2,21,2,2,3976,5,4,2,3,1,3,3,35,3,2,1,3,1,2,1,"7","6","2",0.859564229339173
1,2,18,2,0,6260,1,4,3,3,1,3,1,28,3,1,1,2,1,1,1,"8","5","2",0.629250083341648
1,2,9,4,2,1919,1,4,4,3,1,3,3,35,3,1,1,3,1,2,1,"9","7","2",0.76252177079008
1,4,24,2,1,2603,4,3,2,2,1,4,3,28,3,1,1,3,1,2,1,"7","6","2",0.889839335679836
1,4,9,4,6,936,3,5,4,3,1,2,3,52,3,2,2,3,1,2,1,"9","9","3",0.947198570320608
1,4,24,2,2,3062,3,5,4,3,1,3,4,32,3,1,1,3,1,2,1,"7","6","2",0.853883052621809
1,2,36,2,3,4795,1,2,4,2,1,1,4,30,3,2,1,4,1,2,1,"5","6","2",0.394506185819101
1,4,36,4,1,5842,1,5,2,3,1,2,2,35,3,2,2,3,2,2,1,"5","5","2",0.859834781589153
1,2,6,2,3,2063,1,2,4,4,1,3,3,30,3,1,1,4,1,2,1,"10","7","2",0.683892540183408
1,4,15,4,3,1459,1,3,4,2,1,2,3,43,3,2,1,2,1,1,1,"8","8","3",0.803751893053595
1,4,15,2,3,1213,3,5,4,3,1,3,2,47,2,2,1,3,1,2,1,"8","8","3",0.875008610342763
1,4,24,4,3,5103,1,2,3,4,1,3,4,47,3,3,3,3,1,2,1,"7","5","3",0.878121672083948
1,4,15,2,4,874,5,2,4,2,1,1,1,24,3,2,1,3,1,1,1,"8","9","1",0.714956557847374
1,4,6,2,2,2978,3,3,1,3,1,2,3,32,3,2,1,3,1,2,1,"10","6","2",1.13427400718242
1,4,18,2,0,1820,1,3,2,4,1,2,2,30,3,2,1,4,1,2,1,"8","7","2",0.921228145438592
1,4,24,4,3,2872,2,5,3,3,1,4,1,36,3,2,1,3,2,2,1,"7","6","2",1.10523675059457
1,3,24,2,2,1925,1,3,2,3,1,2,1,26,3,2,1,3,1,1,1,"7","7","2",0.778744511068176
1,4,18,2,2,2515,1,3,3,3,1,4,1,43,3,2,1,3,1,2,1,"8","6","3",0.916010129671505
1,3,6,2,2,2116,1,3,2,3,1,2,1,41,3,2,1,3,1,2,1,"10","7","3",0.949425873203042
1,4,18,2,3,1453,1,2,3,2,1,1,1,26,3,2,1,3,1,1,1,"8","8","2",0.758213847675913
1,4,10,2,0,1364,1,3,2,2,1,4,3,64,3,2,1,3,1,2,1,"9","8","4",0.795031273056602
1,4,6,2,2,1543,4,3,4,1,1,2,1,33,3,2,1,3,1,1,1,"10","7","2",0.977437316522132
1,2,12,2,0,1318,4,5,4,3,1,4,1,54,3,2,1,3,1,2,1,"9","8","3",0.835814746651409
1,1,24,1,0,2325,2,4,2,3,1,3,3,32,1,2,1,3,1,1,1,"7","7","2",0.430307608711733
1,2,6,4,8,932,5,4,1,2,1,3,2,39,3,2,2,2,1,1,1,"10","9","2",0.955713733766274
1,3,24,4,3,3148,5,3,3,3,1,2,3,31,3,2,2,3,1,2,1,"7","6","2",0.985565974710222
1,4,36,2,3,3835,5,5,2,2,1,4,1,45,3,2,1,2,1,2,1,"5","6","3",0.989201346983039
1,4,9,2,6,3832,5,5,1,3,1,4,1,64,3,2,1,2,1,1,1,"9","6","4",1.18667920005617
1,2,24,2,3,5084,5,5,2,2,1,4,3,42,3,2,1,3,1,2,1,"7","5","3",0.792087256466698
1,4,9,4,2,2406,1,1,2,3,1,3,3,31,3,2,1,4,1,1,1,"9","7","2",0.939478673193429
1,4,36,2,3,2394,5,3,4,2,1,4,3,25,3,2,1,3,1,1,1,"5","7","1",0.659555659524644
1,4,21,2,1,2476,5,5,4,3,1,4,1,46,3,2,1,4,1,2,1,"7","7","3",1.01771532055681
1,1,24,2,1,2964,5,5,4,3,1,4,4,49,1,3,1,3,2,2,1,"7","6","3",0.603424680481097
1,1,12,2,2,1262,5,5,2,1,1,4,2,49,3,2,1,2,1,2,1,"9","8","3",0.741842794927394
1,4,12,2,9,1542,1,4,2,3,1,4,3,36,3,2,1,3,1,2,1,"9","7","2",0.980150349312597
1,2,24,4,3,1743,1,5,4,3,1,2,2,48,3,2,2,2,1,1,1,"7","7","3",0.717698787600305
1,3,12,1,3,409,4,3,3,2,1,3,1,42,3,1,2,3,1,1,1,"9","10","3",0.820980562507276
1,4,12,2,3,2171,1,2,2,2,1,2,3,29,1,2,1,3,1,1,1,"9","7","2",0.736782349673279
1,4,48,4,1,8858,5,4,2,3,1,1,4,35,3,3,2,3,1,2,1,"3","4","2",0.867349005539735
1,2,24,2,0,3512,2,4,2,3,1,3,3,38,1,2,2,3,1,2,1,"7","6","2",0.630758945389108
1,2,12,2,3,1158,3,3,3,1,1,1,3,26,3,2,1,3,1,2,1,"9","8","2",0.655710485887738
1,4,24,4,3,2684,1,3,4,3,1,2,1,35,3,2,2,2,1,1,1,"7","6","2",0.945789156561874
1,1,12,2,3,1498,1,3,4,2,1,1,3,23,1,2,1,3,1,1,1,"9","8","1",0.309643927437295
1,4,30,4,3,5954,1,4,3,3,2,2,3,38,3,2,1,3,1,1,1,"6","5","2",0.979371866506678
0,2,48,1,9,6416,1,5,4,2,1,3,4,59,3,1,1,3,1,1,1,"3","5","3",0.217833890855403
1,2,12,4,2,3617,1,5,1,3,1,4,3,28,3,1,3,3,1,2,1,"9","6","2",0.841322399665397
1,4,12,4,3,1291,1,3,4,2,1,2,2,35,3,2,2,3,1,1,1,"9","8","2",0.865546259116133
1,3,24,4,9,1275,4,3,2,1,1,4,1,36,3,2,2,3,1,2,1,"7","8","2",0.933356378302701
1,4,24,2,2,3972,1,4,2,2,1,4,2,25,3,1,1,3,1,2,1,"7","6","1",0.787748689368969
1,4,15,4,2,3343,1,3,4,3,1,2,4,28,3,3,1,3,1,2,1,"8","6","2",0.983967566981464
1,3,15,2,6,392,1,2,4,2,1,4,2,23,3,1,1,3,1,2,1,"8","10","1",0.682071805793834
1,4,9,4,0,2134,1,3,4,3,1,4,3,48,3,2,3,3,1,2,1,"9","7","3",0.87499658978068
1,4,30,4,3,5771,1,4,4,2,1,2,3,25,3,2,2,3,1,1,1,"6","5","1",0.738472949013079
1,4,24,4,9,4526,1,3,3,3,1,2,1,74,3,2,1,4,1,2,1,"7","6","5",1.07682986367081
1,4,15,4,2,2788,1,4,2,2,2,3,3,24,1,2,2,3,1,1,1,"8","6","1",0.846849329448904
1,4,6,4,3,1382,1,3,1,2,1,1,3,28,3,2,2,3,1,2,1,"10","8","2",1.0501285772853
1,3,36,2,3,5848,1,3,4,3,1,1,3,24,3,2,1,3,1,1,1,"5","5","1",0.45631381814257
0,1,12,2,0,1228,1,3,4,2,1,2,1,24,3,2,1,2,1,1,1,"9","8","1",0.455075701355882
1,3,12,2,3,1297,1,3,3,4,1,4,1,23,3,1,1,3,1,1,1,"9","8","1",0.708933504443857
1,4,24,2,3,1552,1,4,3,3,1,1,3,32,1,2,1,3,2,1,1,"7","7","2",0.684505518016874
1,4,12,2,3,1963,1,4,4,3,1,2,3,31,3,1,2,4,2,2,1,"9","7","2",0.732914698963196
1,4,24,2,3,3235,3,5,3,1,1,2,3,36,3,2,1,4,1,2,1,"7","6","2",0.890879276487995
1,4,24,4,9,4139,2,3,3,3,1,3,2,27,3,2,2,2,1,2,1,"7","6","2",1.04885212013252
1,2,12,4,1,1804,2,2,3,3,1,4,2,44,3,2,1,3,1,1,1,"9","7","3",0.796658642548683
1,4,18,2,9,1950,1,4,4,3,1,1,3,34,2,2,2,3,1,2,1,"8","7","2",0.772090208492445
1,4,48,3,3,12749,3,4,4,3,1,1,3,37,3,2,1,4,1,2,1,"3","3","2",0.532659120894377
1,4,9,2,4,1236,1,2,1,2,1,4,1,23,3,1,1,3,1,2,1,"9","8","1",0.813473354245553
1,4,18,4,0,1055,1,2,4,2,1,1,2,30,3,2,2,3,1,1,1,"8","8","2",0.765641248188269
1,1,30,0,9,8072,5,2,2,3,1,3,3,25,1,2,3,3,1,1,1,"6","4","1",0.216915161527706
1,4,30,4,3,2831,1,3,4,2,1,2,3,33,3,2,1,3,1,2,1,"6","6","2",0.903152345171048
1,4,9,2,9,1449,1,4,3,2,1,2,3,27,3,2,2,3,1,1,1,"9","8","2",0.785558223465692
1,4,36,2,9,5742,2,4,2,3,1,2,3,31,3,2,2,3,1,2,1,"5","5","2",0.776782184806494
1,4,12,2,0,2390,5,5,4,3,1,3,3,50,3,2,1,3,1,2,1,"9","7","3",1.02467854990436
1,4,24,2,3,3430,3,5,3,3,1,2,3,31,3,2,1,3,2,2,1,"7","6","2",0.938460299326049
1,2,36,2,6,2273,1,4,3,3,1,1,3,32,3,2,2,3,2,1,1,"5","7","2",0.415422981223901
1,3,21,2,0,2923,2,3,1,2,1,1,3,28,1,2,1,4,1,2,1,"7","6","2",0.721990264595592
1,4,24,2,3,1901,2,3,4,3,1,4,3,29,3,1,1,4,1,2,1,"7","7","2",0.757074081699372
1,2,36,2,6,3711,5,3,2,4,1,2,3,27,3,2,1,3,1,1,1,"5","6","2",0.721694524101514
1,2,48,2,0,8487,5,4,1,2,1,2,3,24,3,2,1,3,1,1,1,"3","4","1",0.440190459738414
1,4,24,2,0,2255,5,2,4,3,1,1,2,54,3,2,1,3,1,1,1,"7","7","3",0.85557220446677
1,4,12,2,3,1262,1,3,3,3,1,2,3,25,3,2,1,3,1,1,1,"9","8","1",0.751791729416932
1,4,33,4,1,7253,1,4,3,3,1,2,3,35,3,2,2,4,1,2,1,"5","5","2",0.796770087184941
1,4,6,4,0,6761,1,4,1,3,1,3,4,45,3,2,2,4,2,2,1,"10","5","3",1.02308442296164
